feature,rmse_increase_mean,rmse_increase_std
air_transport_facility_or_service,0.0,0.0
ground_transport_facility_or_service,0.0,0.0
train_station,0.0,0.0
public_transit_facility_or_service,-5.684341886080802e-15,1.7053025658242407e-14
accessibility_score,-0.049074025747967195,0.03223629759209606
outlet_type,-0.17859403645462635,0.15673669929754522
restaurant,-0.33163292613775186,0.05082265682319531
commercial_score,-0.545265747080822,0.154200702280494
mobility_score,-0.9770052401199223,0.1269649393798622
accessibility_weighted_score,-1.0421461791713966,0.1364905390266113
nearest_competitor_distance,-1.1453069958500464,0.18250733919867926
poi_influence_score,-1.272693814882166,0.13130755571372643
competitor_count_1km,-1.9943853074697642,0.13920116880584854
competitor_count_500m,-2.1698598684487025,0.26844754186592445
saturation_score,-2.819658078159665,0.28029922417480135
