feature,importance
avg_monthly_volume_calendar,186537.9392531177
avg_to_max_ratio,179817.05449292585
avg_monthly_volume,129455.63147018608
total_revenue,111558.17154238428
transaction_count,101826.07814027966
volume_std,99466.22639583424
revenue_per_tx,87348.52992455475
volume_cv,59642.13205487095
total_volume,52625.40890515297
nearest_competitor_distance,41569.798350536825
saturation_score,38275.913908973336
competitive_pressure,35982.460534644124
active_months,26960.18471001983
outlet_type,18762.981920337676
competitor_count_1km,13621.123420476913
poi_influence_score,11802.00788192749
competitor_count_500m,10116.94106106758
accessibility_weighted_score,7375.201823723316
sales_frequency,6804.648376381398
cooler_count,6602.992832279206
commercial_score,3544.956710410118
outlet_size,1629.3270562410355
mobility_score,1371.6557070970534
volume_efficiency,775.2029005989432
restaurant,676.1508969068527
accessibility_score,652.3955031871795
sku_diversity,526.4091783761978
public_transit_facility_or_service,358.5556234359741
train_station,316.42002108097074
ground_transport_facility_or_service,312.0348217248917
master_completeness_score,264.0321683883667
air_transport_facility_or_service,202.95320241451265
distributor_diversity,0.0
