feature,importance
outlet_size,223398.78169285244
cooler_count,36681.01623690724
saturation_score,5817.650122768246
nearest_competitor_distance,5634.037452059556
poi_influence_score,4133.269384916593
accessibility_weighted_score,2053.7227591723204
competitor_count_1km,1913.8753318667411
outlet_type,1871.5160831838846
competitor_count_500m,1262.3591105483472
commercial_score,1094.516026537493
master_completeness_score,935.1171021938324
restaurant,563.9116742551327
mobility_score,339.54672165364025
accessibility_score,238.58284730017186
air_transport_facility_or_service,0.0
ground_transport_facility_or_service,0.0
train_station,0.0
public_transit_facility_or_service,0.0
