Distributor_ID,Year,Month,Seasonality_Index
DIST_W_01,2023,1,Moderate
DIST_W_01,2023,2,Moderate
DIST_W_01,2023,3,Moderate
DIST_W_01,2023,4,Favorable
DIST_W_01,2023,5,Un-Favorable
DIST_W_01,2023,6,Un-Favorable
DIST_W_01,2023,7,Moderate
DIST_W_01,2023,8,Moderate
DIST_W_01,2023,9,Moderate
DIST_W_01,2023,10,Moderate
DIST_W_01,2023,11,Moderate
DIST_W_01,2023,12,Favorable
DIST_W_01,2024,1,Moderate
DIST_W_01,2024,2,Moderate
DIST_W_01,2024,3,Moderate
DIST_W_01,2024,4,Favorable
DIST_W_01,2024,5,Un-Favorable
DIST_W_01,2024,6,Un-Favorable
DIST_W_01,2024,7,Moderate
DIST_W_01,2024,8,Moderate
DIST_W_01,2024,9,Moderate
DIST_W_01,2024,10,Moderate
DIST_W_01,2024,11,Moderate
DIST_W_01,2024,12,Favorable
DIST_W_01,2025,1,Moderate
DIST_W_01,2025,2,Moderate
DIST_W_01,2025,3,Moderate
DIST_W_01,2025,4,Favorable
DIST_W_01,2025,5,Un-Favorable
DIST_W_01,2025,6,Un-Favorable
DIST_W_01,2025,7,Moderate
DIST_W_01,2025,8,Moderate
DIST_W_01,2025,9,Moderate
DIST_W_01,2025,10,Moderate
DIST_W_01,2025,11,Moderate
DIST_W_01,2025,12,Favorable
DIST_W_02,2023,1,Moderate
DIST_W_02,2023,2,Moderate
DIST_W_02,2023,3,Moderate
DIST_W_02,2023,4,Favorable
DIST_W_02,2023,5,Un-Favorable
DIST_W_02,2023,6,Un-Favorable
DIST_W_02,2023,7,Moderate
DIST_W_02,2023,8,Moderate
DIST_W_02,2023,9,Moderate
DIST_W_02,2023,10,Moderate
DIST_W_02,2023,11,Moderate
DIST_W_02,2023,12,Favorable
DIST_W_02,2024,1,Moderate
DIST_W_02,2024,2,Moderate
DIST_W_02,2024,3,Moderate
DIST_W_02,2024,4,Favorable
DIST_W_02,2024,5,Un-Favorable
DIST_W_02,2024,6,Un-Favorable
DIST_W_02,2024,7,Moderate
DIST_W_02,2024,8,Moderate
DIST_W_02,2024,9,Moderate
DIST_W_02,2024,10,Moderate
DIST_W_02,2024,11,Moderate
DIST_W_02,2024,12,Favorable
DIST_W_02,2025,1,Moderate
DIST_W_02,2025,2,Moderate
DIST_W_02,2025,3,Moderate
DIST_W_02,2025,4,Favorable
DIST_W_02,2025,5,Un-Favorable
DIST_W_02,2025,6,Un-Favorable
DIST_W_02,2025,7,Moderate
DIST_W_02,2025,8,Moderate
DIST_W_02,2025,9,Moderate
DIST_W_02,2025,10,Moderate
DIST_W_02,2025,11,Moderate
DIST_W_02,2025,12,Favorable
DIST_W_03,2023,1,Moderate
DIST_W_03,2023,2,Moderate
DIST_W_03,2023,3,Moderate
DIST_W_03,2023,4,Favorable
DIST_W_03,2023,5,Un-Favorable
DIST_W_03,2023,6,Un-Favorable
DIST_W_03,2023,7,Moderate
DIST_W_03,2023,8,Moderate
DIST_W_03,2023,9,Moderate
DIST_W_03,2023,10,Moderate
DIST_W_03,2023,11,Moderate
DIST_W_03,2023,12,Favorable
DIST_W_03,2024,1,Moderate
DIST_W_03,2024,2,Moderate
DIST_W_03,2024,3,Moderate
DIST_W_03,2024,4,Favorable
DIST_W_03,2024,5,Un-Favorable
DIST_W_03,2024,6,Un-Favorable
DIST_W_03,2024,7,Moderate
DIST_W_03,2024,8,Moderate
DIST_W_03,2024,9,Moderate
DIST_W_03,2024,10,Moderate
DIST_W_03,2024,11,Moderate
DIST_W_03,2024,12,Favorable
DIST_W_03,2025,1,Moderate
DIST_W_03,2025,2,Moderate
DIST_W_03,2025,3,Moderate
DIST_W_03,2025,4,Favorable
DIST_W_03,2025,5,Un-Favorable
DIST_W_03,2025,6,Un-Favorable
DIST_W_03,2025,7,Moderate
DIST_W_03,2025,8,Moderate
DIST_W_03,2025,9,Moderate
DIST_W_03,2025,10,Moderate
DIST_W_03,2025,11,Moderate
DIST_W_03,2025,12,Favorable
DIST_C_01,2023,1,Moderate
DIST_C_01,2023,2,Moderate
DIST_C_01,2023,3,Moderate
DIST_C_01,2023,4,Favorable
DIST_C_01,2023,5,Moderate
DIST_C_01,2023,6,Moderate
DIST_C_01,2023,7,Moderate
DIST_C_01,2023,8,Favorable
DIST_C_01,2023,9,Moderate
DIST_C_01,2023,10,Moderate
DIST_C_01,2023,11,Moderate
DIST_C_01,2023,12,Favorable
DIST_C_01,2024,1,Moderate
DIST_C_01,2024,2,Moderate
DIST_C_01,2024,3,Moderate
DIST_C_01,2024,4,Favorable
DIST_C_01,2024,5,Moderate
DIST_C_01,2024,6,Moderate
DIST_C_01,2024,7,Moderate
DIST_C_01,2024,8,Favorable
DIST_C_01,2024,9,Moderate
DIST_C_01,2024,10,Moderate
DIST_C_01,2024,11,Moderate
DIST_C_01,2024,12,Favorable
DIST_C_01,2025,1,Moderate
DIST_C_01,2025,2,Moderate
DIST_C_01,2025,3,Moderate
DIST_C_01,2025,4,Favorable
DIST_C_01,2025,5,Moderate
DIST_C_01,2025,6,Moderate
DIST_C_01,2025,7,Moderate
DIST_C_01,2025,8,Favorable
DIST_C_01,2025,9,Moderate
DIST_C_01,2025,10,Moderate
DIST_C_01,2025,11,Moderate
DIST_C_01,2025,12,Favorable
DIST_C_02,2023,1,Moderate
DIST_C_02,2023,2,Moderate
DIST_C_02,2023,3,Moderate
DIST_C_02,2023,4,Favorable
DIST_C_02,2023,5,Moderate
DIST_C_02,2023,6,Moderate
DIST_C_02,2023,7,Moderate
DIST_C_02,2023,8,Favorable
DIST_C_02,2023,9,Moderate
DIST_C_02,2023,10,Moderate
DIST_C_02,2023,11,Moderate
DIST_C_02,2023,12,Favorable
DIST_C_02,2024,1,Moderate
DIST_C_02,2024,2,Moderate
DIST_C_02,2024,3,Moderate
DIST_C_02,2024,4,Favorable
DIST_C_02,2024,5,Moderate
DIST_C_02,2024,6,Moderate
DIST_C_02,2024,7,Moderate
DIST_C_02,2024,8,Favorable
DIST_C_02,2024,9,Moderate
DIST_C_02,2024,10,Moderate
DIST_C_02,2024,11,Moderate
DIST_C_02,2024,12,Favorable
DIST_C_02,2025,1,Moderate
DIST_C_02,2025,2,Moderate
DIST_C_02,2025,3,Moderate
DIST_C_02,2025,4,Favorable
DIST_C_02,2025,5,Moderate
DIST_C_02,2025,6,Moderate
DIST_C_02,2025,7,Moderate
DIST_C_02,2025,8,Favorable
DIST_C_02,2025,9,Moderate
DIST_C_02,2025,10,Moderate
DIST_C_02,2025,11,Moderate
DIST_C_02,2025,12,Favorable
DIST_C_03,2023,1,Moderate
DIST_C_03,2023,2,Moderate
DIST_C_03,2023,3,Moderate
DIST_C_03,2023,4,Favorable
DIST_C_03,2023,5,Moderate
DIST_C_03,2023,6,Moderate
DIST_C_03,2023,7,Moderate
DIST_C_03,2023,8,Favorable
DIST_C_03,2023,9,Moderate
