Date,Holiday_Name,Holiday_Type
2023-01-06T00:00:00Z,Duruthu Full Moon Poya Day,Public
2023-01-15T00:00:00Z,Tamil Thai Pongal Day,Public
2023-01-16T00:00:00Z,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public
2023-02-03T00:00:00Z,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Public
2023-02-04T00:00:00Z,National Day,Public
2023-02-05T00:00:00Z,Navam Full Moon Poya Day,Public
2024-03-24T00:00:00Z,Medin Full Moon Poya Day,Public
2023-03-06T00:00:00Z,Medin Full Moon Poya Day,Public
2023-04-05T00:00:00Z,Bak Full Moon Poya Day,Public
2023-04-07T00:00:00Z,Good Friday,Public
2023-04-13T00:00:00Z,Day Prior to Sinhala and Tamil New Year Day,Public
2023-04-14T00:00:00Z,Sinhala and Tamil New Year Day,Public
2023-05-01T00:00:00Z,Labour Day,Public
2023-05-04T00:00:00Z,Additional Half Holiday in lieu of  Day following Vesak Full  Moon Poya Day falling on Saturday,Public
2023-05-05T00:00:00Z,Vesak Full Moon Poya Day,Public
2023-05-06T00:00:00Z,Day after Vesak Full Moon Poya Day,Public
2023-06-03T00:00:00Z,Poson Full Moon Poya Day,Public
2023-07-03T00:00:00Z,Adi Esala Full Moon Poya Day,Public
2023-08-01T00:00:00Z,Esala Full Moon Poya Day,Public
2023-08-30T00:00:00Z,Nikini Full Moon Poya Day,Public
2023-09-28T00:00:00Z,Holy Prophet's Birthday,Public
2023-09-29T00:00:00Z,Binara Full Moon Poya Day,Public
2023-10-28T00:00:00Z,Vap Full Moon Poya Day,Public
2023-11-26T00:00:00Z,Il Full Moon Poya Day,Public
2023-12-25T00:00:00Z,Christmas Day,Public
2023-12-26T00:00:00Z,Unduvap Full Moon Poya Day,Public
2023-01-06T00:00:00Z,Duruthu Full Moon Poya Day,Poya Day
2025-02-12T00:00:00Z,Navam Full Moon Poya Day,Poya Day
2024-02-23T00:00:00Z,Navam Full Moon Poya Day,Poya Day
2023-02-05T00:00:00Z,Navam Full Moon Poya Day,Poya Day
2024-03-24T00:00:00Z,Medin Full Moon Poya Day,Poya Day
