Outlet_ID,Latitude,Longitude
OUT_00001,7.089846,79.979055
OUT_00002,7.000558,80.012422
OUT_00003,6.80617,79.854547
OUT_00004,6.703533,79.806919
OUT_00005,7.186878,79.869831
OUT_00006,6.957117,79.977724
OUT_00007,6.92525,79.803979
OUT_00008,6.852307,79.829302
OUT_00009,7.116597,79.852009
OUT_00010,6.912578,79.862382
OUT_00011,7.169749,80.068448
OUT_00012,6.797991,79.813568
OUT_00013,6.993376,80.089577
OUT_00014,6.707818,79.92702
OUT_00015,6.799421,80.013403
OUT_00016,6.879233,79.834761
OUT_00017,6.747705,79.911245
OUT_00018,7.143606,79.941664
OUT_00019,7.060865,79.870795
OUT_00020,6.755445,79.931801
OUT_00021,6.981638,80.008655
OUT_00022,6.801531,80.082856
OUT_00023,7.012177,79.88869
OUT_00024,6.793285,80.067768
OUT_00025,6.859002,79.833016
OUT_00026,6.876284,79.891434
OUT_00027,6.811054,79.83596
OUT_00028,6.901918,79.819468
OUT_00029,6.948624,79.890263
OUT_00030,79.923311,7.188307
OUT_00031,7.040353,79.95928
OUT_00032,7.036068,80.028486
OUT_00033,7.016153,79.990059
OUT_00034,6.775359,79.95246
OUT_00035,6.810121,80.013345
OUT_00036,7.170262,79.919272
OUT_00037,6.870533,79.834042
OUT_00038,6.814275,79.852486
OUT_00039,7.198127,80.089626
OUT_00040,6.869515,79.904763
OUT_00041,7.021016,79.825242
OUT_00042,6.886141,80.08204
OUT_00043,6.942807,79.934527
OUT_00044,6.946947,79.853647
OUT_00045,6.97127,79.952644
OUT_00046,7.189446,79.946023
OUT_00047,6.988452,79.947755
OUT_00048,6.712158,79.993642
OUT_00049,6.83978,80.065048
OUT_00050,6.976382,79.971688
OUT_00051,6.834237,79.945584
OUT_00052,7.048015,79.971018
OUT_00053,6.770042,79.955499
OUT_00054,7.051242,79.907847
OUT_00055,7.133536,80.073972
OUT_00056,7.024982,80.01059
OUT_00057,6.887791,79.828195
OUT_00058,6.777521,80.094552
OUT_00059,6.718674,80.04678
OUT_00060,7.113935,79.881463
OUT_00061,6.905677,80.009854
OUT_00062,6.720534,79.919646
OUT_00063,6.792167,79.824262
OUT_00064,6.786647,79.846931
OUT_00065,7.030099,79.88398
OUT_00066,7.00586,79.92588
OUT_00067,6.87094,79.82754
OUT_00068,6.787665,79.805148
OUT_00069,6.932337,79.994932
OUT_00070,6.722652,79.912384
OUT_00071,6.969689,80.005189
OUT_00072,7.100475,80.003151
OUT_00073,6.972808,80.082439
OUT_00074,6.803342,79.882188
OUT_00075,7.041503,79.821357
OUT_00076,7.107234,79.884556
OUT_00077,7.138736,80.020521
OUT_00078,6.911735,79.970556
OUT_00079,6.886009,80.032924
OUT_00080,6.914497,80.025261
OUT_00081,6.952626,80.047937
OUT_00082,6.705419,80.071615
OUT_00083,6.986719,79.989551
OUT_00084,7.036259,80.025712
OUT_00085,7.165465,80.092274
OUT_00086,7.143852,79.905275
OUT_00087,7.118482,80.060061
OUT_00088,6.898326,80.067569
OUT_00089,6.990653,80.058942
OUT_00090,0.0,0.0
OUT_00091,6.888994,80.011525
OUT_00092,6.946313,79.803406
OUT_00093,7.111395,80.023263
OUT_00094,6.887435,79.885714
OUT_00095,7.18895,79.966802
OUT_00096,7.196482,79.822139
OUT_00097,6.783108,79.865043
OUT_00098,6.892101,80.02113
OUT_00099,6.927828,79.98604
OUT_00100,6.814697,79.879781
OUT_00101,7.049081,79.960829
OUT_00102,6.766593,79.82286
OUT_00103,7.006708,79.925473
OUT_00104,6.713183,79.912939
OUT_00105,6.997065,79.914267
OUT_00106,6.731756,79.811047
OUT_00107,7.045857,79.960304
OUT_00108,7.084494,80.08343
OUT_00109,6.76458,80.086215
OUT_00110,6.879081,79.834067
OUT_00111,6.960082,80.055654
OUT_00112,7.095909,79.976987
OUT_00113,7.019681,80.041513
OUT_00114,7.004044,79.990993
OUT_00115,6.973723,79.935273
OUT_00116,7.048821,80.038942
OUT_00117,6.829122,79.937741
OUT_00118,6.804565,79.973895
OUT_00119,6.992383,79.92009
OUT_00120,7.033779,79.851696
OUT_00121,6.839295,79.853103
OUT_00122,6.877996,80.068265
OUT_00123,6.719656,80.039823
OUT_00124,6.778489,79.913186
OUT_00125,6.998639,80.095877
OUT_00126,7.079978,79.95938
OUT_00127,6.826218,80.014005
OUT_00128,6.715236,80.060164
OUT_00129,7.068703,79.854685
OUT_00130,6.967668,79.869965
OUT_00131,7.094586,79.949533
OUT_00132,6.978871,79.975961
OUT_00133,7.022959,79.971233
OUT_00134,6.818613,79.830535
OUT_00135,6.793284,79.885529
OUT_00136,6.962256,79.923119
OUT_00137,7.158698,79.80159
OUT_00138,7.110431,80.015537
OUT_00139,7.084746,79.856113
OUT_00140,7.068124,79.958952
OUT_00141,6.990619,79.846309
OUT_00142,6.868302,79.840324
OUT_00143,7.042286,79.82636
OUT_00144,6.997819,79.941473
OUT_00145,7.125364,80.023792
OUT_00146,6.802501,79.913769
OUT_00147,7.120914,79.841932
OUT_00148,7.112566,79.855921
OUT_00149,6.879415,80.06316
OUT_00150,7.056891,80.0699
OUT_00151,6.988743,79.906609
OUT_00152,6.971425,79.929458
OUT_00153,6.769636,80.038208
OUT_00154,7.094299,79.845502
OUT_00155,6.771564,79.861363
OUT_00156,6.871041,80.046377
OUT_00157,6.898644,80.039189
OUT_00158,7.060018,79.992344
OUT_00159,6.999515,80.04804
OUT_00160,6.900426,79.938602
OUT_00161,6.769558,79.830238
OUT_00162,6.751106,80.075625
OUT_00163,6.77627,79.972887
OUT_00164,7.167184,80.077671
OUT_00165,7.119449,79.837399
OUT_00166,6.995638,79.919701
OUT_00167,7.093895,79.981116
OUT_00168,7.16148,79.93971
OUT_00169,6.716423,80.073825
OUT_00170,6.71694,79.893442
OUT_00171,79.999061,6.706547
OUT_00172,6.978653,80.05819
OUT_00173,6.997693,79.820123
OUT_00174,6.80257,79.857206
OUT_00175,6.732854,80.032658
OUT_00176,6.940544,79.949104
OUT_00177,6.737752,80.025974
OUT_00178,7.100375,80.093679
OUT_00179,6.975861,79.876167
OUT_00180,6.869636,79.970833
OUT_00181,7.102657,80.096619
OUT_00182,7.034043,79.861495
OUT_00183,6.742754,79.862366
OUT_00184,6.910712,80.067802
OUT_00185,7.112554,79.908918
OUT_00186,7.086917,79.908827
OUT_00187,7.089879,79.834271
OUT_00188,6.942389,79.953737
OUT_00189,6.828944,79.841807
OUT_00190,6.78584,79.881692
OUT_00191,7.107527,79.949427
