Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type
OUT_00001,Medium,1,Grocry
OUT_00002,Small,0,Hotel
OUT_00003,Small,1,Pharmacy
OUT_00004,Medium,2,Pharmacy
OUT_00005,Medium,2,Kiosk
OUT_00006,Medium,1,Kiosk
OUT_00007,Large,4,Hotel
OUT_00008,Extra Large,3,Eatery
OUT_00009,Medium,2,Hotel
OUT_00010,Small,0,Eatery
OUT_00011,Small,1,Grocry
OUT_00012,Medium,1,Pharmacy
OUT_00013,Small,0,Hotel
OUT_00014,Small,1,Grocery
OUT_00015,Small,0,Bakery
OUT_00016,Medium,1,Eatery
OUT_00017,Large,5,Eatery
OUT_00018,Small,1,Pharmacy
OUT_00019,Extra Large,4,Grocery
OUT_00020,Small,0,SMMT
OUT_00021,Small,0,Kiosk
OUT_00022,Small,0,Bakery
OUT_00023,Small,0,Eatery
OUT_00024,Large,5, Eatery 
OUT_00025,,0,Grocery
OUT_00026,Medium,1,Grocry
OUT_00027,small,1,Pharmacy
OUT_00028,Small,0,Grocery
OUT_00029,small,3,SMMT
OUT_00030,Extra Large,4,Grocery
OUT_00031,Small,1,Bakery
OUT_00032,Extra Large,5,SMMT
OUT_00033,Small,1,Hotel
OUT_00034,Large,5,Grocery
OUT_00035,Large,5,Bakery
OUT_00036,Small,0,Kiosk
OUT_00037,Large,2,Bakery
OUT_00038,Medium,2,Bakery
OUT_00039,Medium,1,Eatery
OUT_00040,Large,4,SMMT
OUT_00041,Large,3,Grocery
OUT_00042,Medium,2,Bakry
OUT_00043,Small,0,Eatery
OUT_00044,Small,1,Grocery
OUT_00045,Medium,2,Grocery
OUT_00046,Small,0,Pharmacy
OUT_00047,Small,0,Grocery
OUT_00048,Small,0,Kiosk
OUT_00049,small,3,Hotel
OUT_00050,Extra Large,2,Grocery
OUT_00051,Small,0,SMMT
OUT_00052,Medium,1,Pharmacy
OUT_00053,small,2,SMMT
OUT_00054,Small,1,Grocery
OUT_00055,Small,0,Eatery
OUT_00056,Small,0,Kiosk
OUT_00057,Large,4,SMMT
OUT_00058,Medium,1,Grocery
OUT_00059,Medium,2,Grocery
OUT_00060,Medium,1,Grocery
OUT_00061,Small,1,Kiosk
OUT_00062,Extra Large,3,Pharmacy
OUT_00063,Small,0,Hotel
OUT_00064,Medium,1,Grocery
OUT_00065,Small,0,Grocery
OUT_00066,Medium,1,Hotel
OUT_00067,Small,1,Grocery
OUT_00068,Small,1,Kiosk
OUT_00069,Small,0,Grocery
OUT_00070,Medium,1,Kiosk
OUT_00071,,5,Grocery
OUT_00072,Large,5,Bakery
OUT_00073,,1,Hotel
OUT_00074,Large,5,Eatery
OUT_00075,Small,0,Eatery
OUT_00076,Large,3,Pharmacy
OUT_00077,Medium,1,Bakery
OUT_00078,Extra Large,5,Eatery
OUT_00079,Extra Large,5,Kiosk
OUT_00080,Large,2,Grocry
OUT_00081,Small,0,Grocery
OUT_00082,Small,0,Kiosk
OUT_00083,Small,1,Kiosk
OUT_00084,Small,0,Kiosk
OUT_00085,Medium,1,Hotel
OUT_00086,Medium,1,Bakery
OUT_00087,Extra Large,2,Grocry
OUT_00088,Small,1,Eatery
OUT_00089,Small,0,Bakery
OUT_00090,Large,4,Bakry
OUT_00091,Medium,1,Hotel
OUT_00092,Large,4,Pharmacy
OUT_00093,Small,0,Hotel
OUT_00094,Medium,2,Grocery
OUT_00095,Small,1,Grocry
OUT_00096,Large,3,Hotel
OUT_00097,Medium,1,Eatery
OUT_00098,Small,0,Pharmacy
OUT_00099,Small,1,Pharmacy
OUT_00100,Small,0,Eatery
OUT_00101,Extra Large,5,Bakery
OUT_00102,Small,0,Hotel
OUT_00103,Large,5,Bakry
OUT_00104,Large,2,Hotel
OUT_00105,Small,1,Bakery
OUT_00106,Large,2,Hotel
OUT_00107,Small,0,Pharmacy
OUT_00108,Extra Large,2,SMMT
OUT_00109,Small,0,Grocery
OUT_00110,Small,1,Eatery
OUT_00111,Small,0,Bakery
OUT_00112,Extra Large,3,Pharmacy
OUT_00113,Small,1,Hotel
OUT_00114,Small,0,Pharmacy
OUT_00115,Small,1,Kiosk
OUT_00116,Small,0,Bakery
OUT_00117,Large,3,Grocery
OUT_00118,Medium,2,Hotel
OUT_00119,Small,0,SMMT
OUT_00120,Large,4,Bakery
OUT_00121,Small,1,Eatery
OUT_00122,Medium,1,Grocery
OUT_00123,small,1,Bakery
OUT_00124,Medium,2,Pharmacy
OUT_00125,Small,1,Grocery
OUT_00126,Small,0,Eatery
OUT_00127,Medium,2,Bakery
OUT_00128,Large,4,SMMT
OUT_00129,Medium,1,Grocery
OUT_00130,Small,0,Eatery
OUT_00131,Medium,2,Eatery
OUT_00132,Medium,2,Eatery
OUT_00133,Small,0,Kiosk
OUT_00134,Extra Large,2,Grocery
OUT_00135,Small,0,Pharmacy
OUT_00136,Small,1,Bakery
OUT_00137,Large,5,Kiosk
OUT_00138,Small,0,Bakery
OUT_00139,Medium,1,Hotel
OUT_00140,Medium,2,Grocery
OUT_00141,Medium,2,Pharmacy
OUT_00142,Medium,1,Pharmacy
OUT_00143,,2,Hotel
OUT_00144,Medium,1,Grocery
OUT_00145,Medium,1,Grocery
OUT_00146,Small,1,Grocery
OUT_00147,Medium,2,Kiosk
OUT_00148,Medium,2,Pharmacy
OUT_00149,Medium,2,Pharmacy
OUT_00150,Medium,2,SMMT
OUT_00151,Small,1,SMMT
OUT_00152,Small,0,Bakery
OUT_00153,Medium,2,Eatery
OUT_00154,Small,1,Bakery
OUT_00155,Medium,1,SMMT
OUT_00156,Medium,1,Eatery
OUT_00157,Small,0,Kiosk
OUT_00158,Small,0,Hotel
OUT_00159,Medium,2,Bakery
OUT_00160,small,3,Pharmacy
OUT_00161,Medium,2,Hotel
OUT_00162,Small,1,Kiosk
OUT_00163,Large,5,SMMT
OUT_00164,Small,0,Pharmacy
OUT_00165,Small,0,Eatery
OUT_00166,Small,0,Bakery
OUT_00167,Medium,2,Kiosk
OUT_00168,Small,0,Bakery
OUT_00169,Medium,1,Bakery
OUT_00170,Small,0,Pharmacy
OUT_00171,Medium,2,Eatery
OUT_00172,Extra Large,2,Grocery
OUT_00173,Extra Large,2,SMMT
OUT_00174,Small,1, Eatery 
OUT_00175,Small,1,Bakery
OUT_00176,Medium,2,Kiosk
OUT_00177,Small,0,Hotel
OUT_00178,Small,0,Kiosk
